# x f(x) derivative
-3.74319 0.565956 -0.824435
-3.73819 0.561827 -0.827255
-3.73319 0.557684 -0.830054
-3.72819 0.553526 -0.832832
-3.72319 0.549355 -0.835589
-3.71819 0.545171 -0.838325
-3.71319 0.540972 -0.84104
-3.70819 0.53676 -0.843735
-3.70319 0.532535 -0.846408
-3.69819 0.528296 -0.84906
-3.69319 0.524044 -0.851691
-3.68819 0.519779 -0.854301
-3.68319 0.515501 -0.856889
-3.67819 0.511211 -0.859456
-3.67319 0.506907 -0.862001
-3.66819 0.502591 -0.864525
-3.66319 0.498262 -0.867027
-3.65819 0.49392 -0.869507
-3.65319 0.489567 -0.871966
-3.64819 0.485201 -0.874403
-3.64319 0.480823 -0.876818
-3.63819 0.476433 -0.879211
-3.63319 0.472031 -0.881582
-3.62819 0.467617 -0.883931
-3.62319 0.463191 -0.886258
-3.61819 0.458754 -0.888563
-3.61319 0.454306 -0.890846
-3.60819 0.449846 -0.893106
-3.60319 0.445375 -0.895344
-3.59819 0.440892 -0.89756
-3.59319 0.436399 -0.899753
-3.58819 0.431895 -0.901924
-3.58319 0.42738 -0.904072
-3.57819 0.422854 -0.906198
-3.57319 0.418318 -0.908301
-3.56819 0.413771 -0.910381
-3.56319 0.409214 -0.912438
-3.55819 0.404647 -0.914473
-3.55319 0.400069 -0.916485
-3.54819 0.395482 -0.918474
-3.54319 0.390885 -0.92044
-3.53819 0.386278 -0.922383
-3.53319 0.381661 -0.924302
-3.52819 0.377035 -0.926199
-3.52319 0.372399 -0.928073
-3.51819 0.367754 -0.929923
-3.51319 0.3631 -0.93175
-3.50819 0.358437 -0.933554
-3.50319 0.353764 -0.935335
-3.49819 0.349083 -0.937092
-3.49319 0.344393 -0.938825
-3.48819 0.339695 -0.940536
-3.48319 0.334988 -0.942222
-3.47819 0.330273 -0.943885
-3.47319 0.325549 -0.945525
-3.46819 0.320818 -0.947141
-3.46319 0.316078 -0.948733
-3.45819 0.31133 -0.950302
-3.45319 0.306575 -0.951847
-3.44819 0.301812 -0.953367
-3.44319 0.297041 -0.954865
-3.43819 0.292263 -0.956338
-3.43319 0.287478 -0.957787
-3.42819 0.282686 -0.959213
-3.42319 0.277886 -0.960614
-3.41819 0.273079 -0.961991
-3.41319 0.268266 -0.963345
-3.40819 0.263446 -0.964674
-3.40319 0.258619 -0.965979
-3.39819 0.253786 -0.96726
-3.39319 0.248947 -0.968517
-3.38819 0.244101 -0.96975
-3.38319 0.239249 -0.970958
-3.37819 0.234392 -0.972142
-3.37319 0.229528 -0.973302
-3.36819 0.224659 -0.974438
-3.36319 0.219784 -0.975549
-3.35819 0.214903 -0.976635
-3.35319 0.210017 -0.977698
-3.34819 0.205126 -0.978736
-3.34319 0.20023 -0.979749
-3.33819 0.195329 -0.980738
-3.33319 0.190423 -0.981702
-3.32819 0.185512 -0.982642
-3.32319 0.180596 -0.983557
-3.31819 0.175676 -0.984448
-3.31319 0.170752 -0.985314
-3.30819 0.165823 -0.986156
-3.30319 0.16089 -0.986972
-3.29819 0.155953 -0.987764
-3.29319 0.151013 -0.988532
-3.28819 0.146068 -0.989275
-3.28319 0.14112 -0.989992
-3.27819 0.136168 -0.990686
-3.27319 0.131213 -0.991354
-3.26819 0.126255 -0.991998
-3.26319 0.121293 -0.992617
-3.25819 0.116329 -0.993211
-3.25319 0.111361 -0.99378
-3.24819 0.106391 -0.994324
-3.24319 0.101418 -0.994844
-3.23819 0.0964425 -0.995339
-3.23319 0.0914646 -0.995808
-3.22819 0.0864845 -0.996253
-3.22319 0.0815022 -0.996673
-3.21819 0.0765178 -0.997068
-3.21319 0.0715315 -0.997438
-3.20819 0.0665434 -0.997784
-3.20319 0.0615537 -0.998104
-3.19819 0.0565624 -0.998399
-3.19319 0.0515698 -0.998669
-3.18819 0.0465758 -0.998915
-3.18319 0.0415807 -0.999135
-3.17819 0.0365845 -0.999331
-3.17319 0.0315874 -0.999501
-3.16819 0.0265895 -0.999646
-3.16319 0.021591 -0.999767
-3.15819 0.0165919 -0.999862
-3.15319 0.0115924 -0.999933
-3.14819 0.00659261 -0.999978
-3.14319 0.00159265 -0.999999
-3.13819 -0.00340734 -0.999994
-3.13319 -0.00840725 -0.999965
-3.12819 -0.0134069 -0.99991
-3.12319 -0.0184063 -0.999831
-3.11819 -0.0234052 -0.999726
-3.11319 -0.0284035 -0.999597
-3.10819 -0.0334011 -0.999442
-3.10319 -0.0383979 -0.999263
-3.09819 -0.0433937 -0.999058
-3.09319 -0.0483884 -0.998829
-3.08819 -0.053382 -0.998574
-3.08319 -0.0583741 -0.998295
-3.07819 -0.0633649 -0.99799
-3.07319 -0.068354 -0.997661
-3.06819 -0.0733414 -0.997307
-3.06319 -0.078327 -0.996928
-3.05819 -0.0833107 -0.996524
-3.05319 -0.0882922 -0.996095
-3.04819 -0.0932716 -0.995641
-3.04319 -0.0982486 -0.995162
-3.03819 -0.103223 -0.994658
-3.03319 -0.108195 -0.99413
-3.02819 -0.113164 -0.993576
-3.02319 -0.118131 -0.992998
-3.01819 -0.123094 -0.992395
-3.01319 -0.128055 -0.991767
-3.00819 -0.133012 -0.991114
-3.00319 -0.137966 -0.990437
-2.99819 -0.142916 -0.989735
-2.99319 -0.147863 -0.989008
-2.98819 -0.152806 -0.988256
-2.98319 -0.157746 -0.98748
-2.97819 -0.162681 -0.986679
-2.97319 -0.167612 -0.985853
-2.96819 -0.17254 -0.985003
-2.96319 -0.177462 -0.984128
-2.95819 -0.182381 -0.983228
-2.95319 -0.187295 -0.982304
-2.94819 -0.192204 -0.981355
-2.94319 -0.197108 -0.980382
-2.93819 -0.202008 -0.979384
-2.93319 -0.206902 -0.978362
-2.92819 -0.211791 -0.977315
-2.92319 -0.216675 -0.976244
-2.91819 -0.221554 -0.975148
-2.91319 -0.226427 -0.974028
-2.90819 -0.231294 -0.972884
-2.90319 -0.236155 -0.971715
-2.89819 -0.241011 -0.970522
-2.89319 -0.245861 -0.969305
-2.88819 -0.250704 -0.968064
-2.88319 -0.255541 -0.966798
-2.87819 -0.260372 -0.965508
-2.87319 -0.265196 -0.964194
-2.86819 -0.270014 -0.962856
-2.86319 -0.274825 -0.961494
-2.85819 -0.279629 -0.960108
-2.85319 -0.284426 -0.958698
-2.84819 -0.289216 -0.957264
-2.84319 -0.293998 -0.955806
-2.83819 -0.298774 -0.954324
-2.83319 -0.303542 -0.952818
-2.82819 -0.308302 -0.951289
-2.82319 -0.313054 -0.949735
-2.81819 -0.317799 -0.948158
-2.81319 -0.322536 -0.946557
-2.80819 -0.327265 -0.944933
-2.80319 -0.331985 -0.943285
-2.79819 -0.336697 -0.941613
-2.79319 -0.341401 -0.939918
-2.78819 -0.346097 -0.938199
-2.78319 -0.350783 -0.936457
-2.77819 -0.355461 -0.934691
-2.77319 -0.36013 -0.932902
-2.76819 -0.36479 -0.93109
-2.76319 -0.369441 -0.929254
-2.75819 -0.374083 -0.927395
-2.75319 -0.378715 -0.925513
-2.74819 -0.383338 -0.923608
-2.74319 -0.387951 -0.92168
-2.73819 -0.392554 -0.919729
-2.73319 -0.397148 -0.917755
-2.72819 -0.401732 -0.915757
-2.72319 -0.406306 -0.913737
-2.71819 -0.410869 -0.911694
-2.71319 -0.415423 -0.909629
-2.70819 -0.419966 -0.90754
-2.70319 -0.424498 -0.905429
-2.69819 -0.42902 -0.903295
-2.69319 -0.433531 -0.901139
-2.68819 -0.438031 -0.89896
-2.68319 -0.44252 -0.896758
-2.67819 -0.446999 -0.894535
-2.67319 -0.451466 -0.892288
-2.66819 -0.455922 -0.89002
-2.66319 -0.460366 -0.887729
-2.65819 -0.464799 -0.885416
-2.65319 -0.46922 -0.883081
-2.64819 -0.47363 -0.880724
-2.64319 -0.478027 -0.878345
-2.63819 -0.482413 -0.875944
-2.63319 -0.486787 -0.873521
-2.62819 -0.491148 -0.871076
-2.62319 -0.495497 -0.868609
-2.61819 -0.499834 -0.866121
-2.61319 -0.504159 -0.863611
-2.60819 -0.50847 -0.86108
-2.60319 -0.512769 -0.858526
-2.59819 -0.517056 -0.855952
-2.59319 -0.521329 -0.853356
-2.58819 -0.525589 -0.850739
-2.58319 -0.529836 -0.8481
-2.57819 -0.53407 -0.84544
-2.57319 -0.538291 -0.842759
-2.56819 -0.542498 -0.840057
-2.56319 -0.546691 -0.837334
-2.55819 -0.550871 -0.83459
-2.55319 -0.555037 -0.831826
-2.54819 -0.559189 -0.82904
-2.54319 -0.563327 -0.826234
-2.53819 -0.567451 -0.823407
-2.53319 -0.571561 -0.820559
-2.52819 -0.575657 -0.817691
-2.52319 -0.579738 -0.814803
-2.51819 -0.583805 -0.811894
-2.51319 -0.587857 -0.808965
-2.50819 -0.591895 -0.806015
-2.50319 -0.595917 -0.803046
-2.49819 -0.599925 -0.800056
-2.49319 -0.603918 -0.797047
-2.48819 -0.607895 -0.794017
-2.48319 -0.611858 -0.790968
-2.47819 -0.615805 -0.787899
-2.47319 -0.619737 -0.78481
-2.46819 -0.623653 -0.781701
-2.46319 -0.627554 -0.778573
-2.45819 -0.631439 -0.775426
-2.45319 -0.635308 -0.772259
-2.44819 -0.639161 -0.769073
-2.44319 -0.642999 -0.765867
-2.43819 -0.64682 -0.762643
-2.43319 -0.650625 -0.759399
-2.42819 -0.654414 -0.756136
-2.42319 -0.658186 -0.752855
-2.41819 -0.661943 -0.749555
-2.41319 -0.665682 -0.746236
-2.40819 -0.669405 -0.742898
-2.40319 -0.673111 -0.739542
-2.39819 -0.6768 -0.736167
-2.39319 -0.680473 -0.732774
-2.38819 -0.684128 -0.729362
-2.38319 -0.687766 -0.725932
-2.37819 -0.691387 -0.722484
-2.37319 -0.694991 -0.719018
-2.36819 -0.698577 -0.715535
-2.36319 -0.702146 -0.712033
-2.35819 -0.705698 -0.708513
-2.35319 -0.709231 -0.704976
-2.34819 -0.712747 -0.701421
-2.34319 -0.716246 -0.697848
-2.33819 -0.719726 -0.694258
-2.33319 -0.723188 -0.690651
-2.32819 -0.726632 -0.687027
-2.32319 -0.730058 -0.683385
-2.31819 -0.733466 -0.679726
-2.31319 -0.736856 -0.67605
-2.30819 -0.740227 -0.672357
-2.30319 -0.743579 -0.668648
-2.29819 -0.746913 -0.664922
-2.29319 -0.750228 -0.661179
-2.28819 -0.753525 -0.657419
-2.28319 -0.756802 -0.653644
-2.27819 -0.760061 -0.649851
-2.27319 -0.763301 -0.646043
-2.26819 -0.766522 -0.642218
-2.26319 -0.769723 -0.638378
-2.25819 -0.772905 -0.634521
-2.25319 -0.776068 -0.630649
-2.24819 -0.779212 -0.626761
-2.24319 -0.782336 -0.622857
-2.23819 -0.78544 -0.618937
-2.23319 -0.788525 -0.615002
-2.22819 -0.79159 -0.611052
-2.22319 -0.794636 -0.607087
-2.21819 -0.797661 -0.603106
-2.21319 -0.800667 -0.59911
-2.20819 -0.803652 -0.595099
-2.20319 -0.806618 -0.591073
-2.19819 -0.809563 -0.587033
-2.19319 -0.812488 -0.582978
-2.18819 -0.815393 -0.578908
-2.18319 -0.818277 -0.574824
-2.17819 -0.821141 -0.570725
-2.17319 -0.823984 -0.566613
