# x f(x) derivative
-1.78 -5.63975 9.5052
-1.775 -5.59236 9.45188
-1.77 -5.54523 9.3987
-1.765 -5.49837 9.34568
-1.76 -5.45178 9.2928
-1.755 -5.40544 9.24008
-1.75 -5.35938 9.1875
-1.745 -5.31357 9.13508
-1.74 -5.26802 9.0828
-1.735 -5.22274 9.03068
-1.73 -5.17772 8.9787
-1.725 -5.13295 8.92688
-1.72 -5.08845 8.8752
-1.715 -5.0442 8.82368
-1.71 -5.00021 8.7723
-1.705 -4.95648 8.72108
-1.7 -4.913 8.67
-1.695 -4.86978 8.61908
-1.69 -4.82681 8.5683
-1.685 -4.78409 8.51768
-1.68 -4.74163 8.4672
-1.675 -4.69942 8.41688
-1.67 -4.65746 8.3667
-1.665 -4.61575 8.31668
-1.66 -4.5743 8.2668
-1.655 -4.53309 8.21708
-1.65 -4.49213 8.1675
-1.645 -4.45141 8.11808
-1.64 -4.41094 8.0688
-1.635 -4.37072 8.01968
-1.63 -4.33075 7.9707
-1.625 -4.29102 7.92188
-1.62 -4.25153 7.8732
-1.615 -4.21228 7.82468
-1.61 -4.17328 7.7763
-1.605 -4.13452 7.72808
-1.6 -4.096 7.68
-1.595 -4.05772 7.63208
-1.59 -4.01968 7.5843
-1.585 -3.98188 7.53668
-1.58 -3.94431 7.4892
-1.575 -3.90698 7.44188
-1.57 -3.86989 7.3947
-1.565 -3.83304 7.34768
-1.56 -3.79642 7.3008
-1.555 -3.76003 7.25408
-1.55 -3.72388 7.2075
-1.545 -3.68795 7.16108
-1.54 -3.65226 7.1148
-1.535 -3.61681 7.06868
-1.53 -3.58158 7.0227
-1.525 -3.54658 6.97688
-1.52 -3.51181 6.9312
-1.515 -3.47727 6.88568
-1.51 -3.44295 6.8403
-1.505 -3.40886 6.79508
-1.5 -3.375 6.75
-1.495 -3.34136 6.70508
-1.49 -3.30795 6.6603
-1.485 -3.27476 6.61568
-1.48 -3.24179 6.5712
-1.475 -3.20905 6.52688
-1.47 -3.17652 6.4827
-1.465 -3.14422 6.43868
-1.46 -3.11214 6.3948
-1.455 -3.08027 6.35108
-1.45 -3.04863 6.3075
-1.445 -3.0172 6.26408
-1.44 -2.98598 6.2208
-1.435 -2.95499 6.17768
-1.43 -2.92421 6.1347
-1.425 -2.89364 6.09188
-1.42 -2.86329 6.0492
-1.415 -2.83315 6.00668
-1.41 -2.80322 5.9643
-1.405 -2.77351 5.92208
-1.4 -2.744 5.88
-1.395 -2.7147 5.83808
-1.39 -2.68562 5.7963
-1.385 -2.65674 5.75468
-1.38 -2.62807 5.7132
-1.375 -2.59961 5.67188
-1.37 -2.57135 5.6307
-1.365 -2.5433 5.58968
-1.36 -2.51546 5.5488
-1.355 -2.48781 5.50808
-1.35 -2.46038 5.4675
-1.345 -2.43314 5.42708
-1.34 -2.4061 5.3868
-1.335 -2.37927 5.34668
-1.33 -2.35264 5.3067
-1.325 -2.3262 5.26688
